block_id,display_name,category,material,variant,shape,render_bucket,alpha_mode,needs_sorting,occludes,occlusion_mode,mesh_profile,collision_kind,aabb_min,aabb_max,attach_faces,requires_support,double_sided,tex_layers,state_params,hardness_class,sound_class,flammable,requires_water,tint_mode,growth_rule_id,growth_params_json,mesh_notes,tags,display_name_zh,display_name_bi,category_zh,material_zh,variant_zh
basalt_fractured_pillar,basalt fractured pillar,geology:igneous_extrusive,basalt,fractured,pillar,OPAQUE,OPAQUE,False,True,partial,PILLAR,full,"0,0,0","1,1,1",,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;FRACTURED;shape:pillar,玄武岩破碎柱,basalt fractured pillar / 玄武岩破碎柱,地质/喷出火成岩,玄武岩,破碎
basalt_fractured_rubble,basalt fractured rubble,geology:igneous_extrusive,basalt,fractured,rubble,CUTOUT,CUTOUT,False,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,False,False,6 (one per face),,soft,stone,False,False,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;FRACTURED;shape:rubble,玄武岩破碎碎石,basalt fractured rubble / 玄武岩破碎碎石,地质/喷出火成岩,玄武岩,破碎
basalt_weathered_block,basalt weathered block,geology:igneous_extrusive,basalt,weathered,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;WEATHERED;shape:block,玄武岩weathered块,basalt weathered block / 玄武岩weathered块,地质/喷出火成岩,玄武岩,
basalt_weathered_slab,basalt weathered slab,geology:igneous_extrusive,basalt,weathered,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;WEATHERED;shape:slab,玄武岩weathered半砖,basalt weathered slab / 玄武岩weathered半砖,地质/喷出火成岩,玄武岩,
basalt_weathered_stairs,basalt weathered stairs,geology:igneous_extrusive,basalt,weathered,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;WEATHERED;shape:stairs,玄武岩weathered楼梯,basalt weathered stairs / 玄武岩weathered楼梯,地质/喷出火成岩,玄武岩,
basalt_weathered_wall,basalt weathered wall,geology:igneous_extrusive,basalt,weathered,wall,OPAQUE,OPAQUE,False,True,partial,WALL,wall,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;WEATHERED;shape:wall,玄武岩weathered墙,basalt weathered wall / 玄武岩weathered墙,地质/喷出火成岩,玄武岩,
basalt_weathered_pillar,basalt weathered pillar,geology:igneous_extrusive,basalt,weathered,pillar,OPAQUE,OPAQUE,False,True,partial,PILLAR,full,"0,0,0","1,1,1",,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;WEATHERED;shape:pillar,玄武岩weathered柱,basalt weathered pillar / 玄武岩weathered柱,地质/喷出火成岩,玄武岩,
basalt_weathered_rubble,basalt weathered rubble,geology:igneous_extrusive,basalt,weathered,rubble,CUTOUT,CUTOUT,False,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,False,False,6 (one per face),,soft,stone,False,False,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;WEATHERED;shape:rubble,玄武岩weathered碎石,basalt weathered rubble / 玄武岩weathered碎石,地质/喷出火成岩,玄武岩,
basalt_cobbled_block,basalt cobbled block,geology:igneous_extrusive,basalt,cobbled,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;COBBLED;shape:block,玄武岩圆石块,basalt cobbled block / 玄武岩圆石块,地质/喷出火成岩,玄武岩,圆石
basalt_cobbled_slab,basalt cobbled slab,geology:igneous_extrusive,basalt,cobbled,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;COBBLED;shape:slab,玄武岩圆石半砖,basalt cobbled slab / 玄武岩圆石半砖,地质/喷出火成岩,玄武岩,圆石
basalt_cobbled_stairs,basalt cobbled stairs,geology:igneous_extrusive,basalt,cobbled,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;COBBLED;shape:stairs,玄武岩圆石楼梯,basalt cobbled stairs / 玄武岩圆石楼梯,地质/喷出火成岩,玄武岩,圆石
basalt_cobbled_wall,basalt cobbled wall,geology:igneous_extrusive,basalt,cobbled,wall,OPAQUE,OPAQUE,False,True,partial,WALL,wall,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;COBBLED;shape:wall,玄武岩圆石墙,basalt cobbled wall / 玄武岩圆石墙,地质/喷出火成岩,玄武岩,圆石
basalt_cobbled_pillar,basalt cobbled pillar,geology:igneous_extrusive,basalt,cobbled,pillar,OPAQUE,OPAQUE,False,True,partial,PILLAR,full,"0,0,0","1,1,1",,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;COBBLED;shape:pillar,玄武岩圆石柱,basalt cobbled pillar / 玄武岩圆石柱,地质/喷出火成岩,玄武岩,圆石
basalt_cobbled_rubble,basalt cobbled rubble,geology:igneous_extrusive,basalt,cobbled,rubble,CUTOUT,CUTOUT,False,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,False,False,6 (one per face),,soft,stone,False,False,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;COBBLED;shape:rubble,玄武岩圆石碎石,basalt cobbled rubble / 玄武岩圆石碎石,地质/喷出火成岩,玄武岩,圆石
basalt_polished_block,basalt polished block,geology:igneous_extrusive,basalt,polished,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;POLISHED;shape:block,玄武岩抛光块,basalt polished block / 玄武岩抛光块,地质/喷出火成岩,玄武岩,抛光
basalt_polished_slab,basalt polished slab,geology:igneous_extrusive,basalt,polished,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;POLISHED;shape:slab,玄武岩抛光半砖,basalt polished slab / 玄武岩抛光半砖,地质/喷出火成岩,玄武岩,抛光
basalt_polished_stairs,basalt polished stairs,geology:igneous_extrusive,basalt,polished,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;POLISHED;shape:stairs,玄武岩抛光楼梯,basalt polished stairs / 玄武岩抛光楼梯,地质/喷出火成岩,玄武岩,抛光
basalt_polished_wall,basalt polished wall,geology:igneous_extrusive,basalt,polished,wall,OPAQUE,OPAQUE,False,True,partial,WALL,wall,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;POLISHED;shape:wall,玄武岩抛光墙,basalt polished wall / 玄武岩抛光墙,地质/喷出火成岩,玄武岩,抛光
basalt_polished_pillar,basalt polished pillar,geology:igneous_extrusive,basalt,polished,pillar,OPAQUE,OPAQUE,False,True,partial,PILLAR,full,"0,0,0","1,1,1",,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;POLISHED;shape:pillar,玄武岩抛光柱,basalt polished pillar / 玄武岩抛光柱,地质/喷出火成岩,玄武岩,抛光
basalt_polished_rubble,basalt polished rubble,geology:igneous_extrusive,basalt,polished,rubble,CUTOUT,CUTOUT,False,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,False,False,6 (one per face),,soft,stone,False,False,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;POLISHED;shape:rubble,玄武岩抛光碎石,basalt polished rubble / 玄武岩抛光碎石,地质/喷出火成岩,玄武岩,抛光
basalt_bricks_block,basalt bricks block,geology:igneous_extrusive,basalt,bricks,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;BRICKS;shape:block,玄武岩砖块,basalt bricks block / 玄武岩砖块,地质/喷出火成岩,玄武岩,砖
basalt_bricks_slab,basalt bricks slab,geology:igneous_extrusive,basalt,bricks,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;BRICKS;shape:slab,玄武岩砖半砖,basalt bricks slab / 玄武岩砖半砖,地质/喷出火成岩,玄武岩,砖
basalt_bricks_stairs,basalt bricks stairs,geology:igneous_extrusive,basalt,bricks,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;BRICKS;shape:stairs,玄武岩砖楼梯,basalt bricks stairs / 玄武岩砖楼梯,地质/喷出火成岩,玄武岩,砖
basalt_bricks_wall,basalt bricks wall,geology:igneous_extrusive,basalt,bricks,wall,OPAQUE,OPAQUE,False,True,partial,WALL,wall,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;BRICKS;shape:wall,玄武岩砖墙,basalt bricks wall / 玄武岩砖墙,地质/喷出火成岩,玄武岩,砖
basalt_bricks_pillar,basalt bricks pillar,geology:igneous_extrusive,basalt,bricks,pillar,OPAQUE,OPAQUE,False,True,partial,PILLAR,full,"0,0,0","1,1,1",,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;BRICKS;shape:pillar,玄武岩砖柱,basalt bricks pillar / 玄武岩砖柱,地质/喷出火成岩,玄武岩,砖
basalt_bricks_rubble,basalt bricks rubble,geology:igneous_extrusive,basalt,bricks,rubble,CUTOUT,CUTOUT,False,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,False,False,6 (one per face),,soft,stone,False,False,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;BRICKS;shape:rubble,玄武岩砖碎石,basalt bricks rubble / 玄武岩砖碎石,地质/喷出火成岩,玄武岩,砖
basalt_tiles_block,basalt tiles block,geology:igneous_extrusive,basalt,tiles,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;TILES;shape:block,玄武岩砖块,basalt tiles block / 玄武岩砖块,地质/喷出火成岩,玄武岩,砖
basalt_tiles_slab,basalt tiles slab,geology:igneous_extrusive,basalt,tiles,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;TILES;shape:slab,玄武岩砖半砖,basalt tiles slab / 玄武岩砖半砖,地质/喷出火成岩,玄武岩,砖
basalt_tiles_stairs,basalt tiles stairs,geology:igneous_extrusive,basalt,tiles,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;TILES;shape:stairs,玄武岩砖楼梯,basalt tiles stairs / 玄武岩砖楼梯,地质/喷出火成岩,玄武岩,砖
basalt_tiles_wall,basalt tiles wall,geology:igneous_extrusive,basalt,tiles,wall,OPAQUE,OPAQUE,False,True,partial,WALL,wall,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;TILES;shape:wall,玄武岩砖墙,basalt tiles wall / 玄武岩砖墙,地质/喷出火成岩,玄武岩,砖
basalt_tiles_pillar,basalt tiles pillar,geology:igneous_extrusive,basalt,tiles,pillar,OPAQUE,OPAQUE,False,True,partial,PILLAR,full,"0,0,0","1,1,1",,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;TILES;shape:pillar,玄武岩砖柱,basalt tiles pillar / 玄武岩砖柱,地质/喷出火成岩,玄武岩,砖
basalt_tiles_rubble,basalt tiles rubble,geology:igneous_extrusive,basalt,tiles,rubble,CUTOUT,CUTOUT,False,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,False,False,6 (one per face),,soft,stone,False,False,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;TILES;shape:rubble,玄武岩砖碎石,basalt tiles rubble / 玄武岩砖碎石,地质/喷出火成岩,玄武岩,砖
basalt_chiseled_block,basalt chiseled block,geology:igneous_extrusive,basalt,chiseled,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;CHISELED;shape:block,玄武岩雕纹块,basalt chiseled block / 玄武岩雕纹块,地质/喷出火成岩,玄武岩,雕纹
basalt_chiseled_slab,basalt chiseled slab,geology:igneous_extrusive,basalt,chiseled,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;CHISELED;shape:slab,玄武岩雕纹半砖,basalt chiseled slab / 玄武岩雕纹半砖,地质/喷出火成岩,玄武岩,雕纹
basalt_chiseled_stairs,basalt chiseled stairs,geology:igneous_extrusive,basalt,chiseled,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;CHISELED;shape:stairs,玄武岩雕纹楼梯,basalt chiseled stairs / 玄武岩雕纹楼梯,地质/喷出火成岩,玄武岩,雕纹
basalt_chiseled_wall,basalt chiseled wall,geology:igneous_extrusive,basalt,chiseled,wall,OPAQUE,OPAQUE,False,True,partial,WALL,wall,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;CHISELED;shape:wall,玄武岩雕纹墙,basalt chiseled wall / 玄武岩雕纹墙,地质/喷出火成岩,玄武岩,雕纹
basalt_chiseled_pillar,basalt chiseled pillar,geology:igneous_extrusive,basalt,chiseled,pillar,OPAQUE,OPAQUE,False,True,partial,PILLAR,full,"0,0,0","1,1,1",,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;CHISELED;shape:pillar,玄武岩雕纹柱,basalt chiseled pillar / 玄武岩雕纹柱,地质/喷出火成岩,玄武岩,雕纹
basalt_chiseled_rubble,basalt chiseled rubble,geology:igneous_extrusive,basalt,chiseled,rubble,CUTOUT,CUTOUT,False,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,False,False,6 (one per face),,soft,stone,False,False,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;CHISELED;shape:rubble,玄武岩雕纹碎石,basalt chiseled rubble / 玄武岩雕纹碎石,地质/喷出火成岩,玄武岩,雕纹
andesite_raw_block,andesite raw block,geology:igneous_extrusive,andesite,raw,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;RAW;shape:block,安山岩粗块,andesite raw block / 安山岩粗块,地质/喷出火成岩,安山岩,粗
andesite_raw_slab,andesite raw slab,geology:igneous_extrusive,andesite,raw,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;RAW;shape:slab,安山岩粗半砖,andesite raw slab / 安山岩粗半砖,地质/喷出火成岩,安山岩,粗
andesite_raw_stairs,andesite raw stairs,geology:igneous_extrusive,andesite,raw,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;RAW;shape:stairs,安山岩粗楼梯,andesite raw stairs / 安山岩粗楼梯,地质/喷出火成岩,安山岩,粗
andesite_raw_wall,andesite raw wall,geology:igneous_extrusive,andesite,raw,wall,OPAQUE,OPAQUE,False,True,partial,WALL,wall,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;RAW;shape:wall,安山岩粗墙,andesite raw wall / 安山岩粗墙,地质/喷出火成岩,安山岩,粗
andesite_raw_pillar,andesite raw pillar,geology:igneous_extrusive,andesite,raw,pillar,OPAQUE,OPAQUE,False,True,partial,PILLAR,full,"0,0,0","1,1,1",,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;RAW;shape:pillar,安山岩粗柱,andesite raw pillar / 安山岩粗柱,地质/喷出火成岩,安山岩,粗
andesite_raw_rubble,andesite raw rubble,geology:igneous_extrusive,andesite,raw,rubble,CUTOUT,CUTOUT,False,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,False,False,6 (one per face),,soft,stone,False,False,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;RAW;shape:rubble,安山岩粗碎石,andesite raw rubble / 安山岩粗碎石,地质/喷出火成岩,安山岩,粗
andesite_fractured_block,andesite fractured block,geology:igneous_extrusive,andesite,fractured,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;FRACTURED;shape:block,安山岩破碎块,andesite fractured block / 安山岩破碎块,地质/喷出火成岩,安山岩,破碎
andesite_fractured_slab,andesite fractured slab,geology:igneous_extrusive,andesite,fractured,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;FRACTURED;shape:slab,安山岩破碎半砖,andesite fractured slab / 安山岩破碎半砖,地质/喷出火成岩,安山岩,破碎
andesite_fractured_stairs,andesite fractured stairs,geology:igneous_extrusive,andesite,fractured,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;FRACTURED;shape:stairs,安山岩破碎楼梯,andesite fractured stairs / 安山岩破碎楼梯,地质/喷出火成岩,安山岩,破碎
andesite_fractured_wall,andesite fractured wall,geology:igneous_extrusive,andesite,fractured,wall,OPAQUE,OPAQUE,False,True,partial,WALL,wall,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;FRACTURED;shape:wall,安山岩破碎墙,andesite fractured wall / 安山岩破碎墙,地质/喷出火成岩,安山岩,破碎
andesite_fractured_pillar,andesite fractured pillar,geology:igneous_extrusive,andesite,fractured,pillar,OPAQUE,OPAQUE,False,True,partial,PILLAR,full,"0,0,0","1,1,1",,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;FRACTURED;shape:pillar,安山岩破碎柱,andesite fractured pillar / 安山岩破碎柱,地质/喷出火成岩,安山岩,破碎
andesite_fractured_rubble,andesite fractured rubble,geology:igneous_extrusive,andesite,fractured,rubble,CUTOUT,CUTOUT,False,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,False,False,6 (one per face),,soft,stone,False,False,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;FRACTURED;shape:rubble,安山岩破碎碎石,andesite fractured rubble / 安山岩破碎碎石,地质/喷出火成岩,安山岩,破碎
andesite_weathered_block,andesite weathered block,geology:igneous_extrusive,andesite,weathered,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;WEATHERED;shape:block,安山岩weathered块,andesite weathered block / 安山岩weathered块,地质/喷出火成岩,安山岩,
andesite_weathered_slab,andesite weathered slab,geology:igneous_extrusive,andesite,weathered,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;WEATHERED;shape:slab,安山岩weathered半砖,andesite weathered slab / 安山岩weathered半砖,地质/喷出火成岩,安山岩,
andesite_weathered_stairs,andesite weathered stairs,geology:igneous_extrusive,andesite,weathered,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;WEATHERED;shape:stairs,安山岩weathered楼梯,andesite weathered stairs / 安山岩weathered楼梯,地质/喷出火成岩,安山岩,
