block_id,display_name,category,material,variant,shape,render_bucket,alpha_mode,needs_sorting,occludes,occlusion_mode,mesh_profile,collision_kind,aabb_min,aabb_max,attach_faces,requires_support,double_sided,tex_layers,state_params,hardness_class,sound_class,flammable,requires_water,tint_mode,growth_rule_id,growth_params_json,mesh_notes,tags
basalt_tiles_rubble,basalt tiles rubble,geology:igneous_extrusive,basalt,tiles,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;TILES;shape:rubble
basalt_chiseled_block,basalt chiseled block,geology:igneous_extrusive,basalt,chiseled,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;CHISELED;shape:block
basalt_chiseled_slab,basalt chiseled slab,geology:igneous_extrusive,basalt,chiseled,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;CHISELED;shape:slab
basalt_chiseled_stairs,basalt chiseled stairs,geology:igneous_extrusive,basalt,chiseled,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;CHISELED;shape:stairs
basalt_chiseled_wall,basalt chiseled wall,geology:igneous_extrusive,basalt,chiseled,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;CHISELED;shape:wall
basalt_chiseled_pillar,basalt chiseled pillar,geology:igneous_extrusive,basalt,chiseled,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;CHISELED;shape:pillar
basalt_chiseled_rubble,basalt chiseled rubble,geology:igneous_extrusive,basalt,chiseled,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;CHISELED;shape:rubble
andesite_raw_block,andesite raw block,geology:igneous_extrusive,andesite,raw,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;RAW;shape:block
andesite_raw_slab,andesite raw slab,geology:igneous_extrusive,andesite,raw,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;RAW;shape:slab
andesite_raw_stairs,andesite raw stairs,geology:igneous_extrusive,andesite,raw,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;RAW;shape:stairs
andesite_raw_wall,andesite raw wall,geology:igneous_extrusive,andesite,raw,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;RAW;shape:wall
andesite_raw_pillar,andesite raw pillar,geology:igneous_extrusive,andesite,raw,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;RAW;shape:pillar
andesite_raw_rubble,andesite raw rubble,geology:igneous_extrusive,andesite,raw,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;RAW;shape:rubble
andesite_fractured_block,andesite fractured block,geology:igneous_extrusive,andesite,fractured,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;FRACTURED;shape:block
andesite_fractured_slab,andesite fractured slab,geology:igneous_extrusive,andesite,fractured,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;FRACTURED;shape:slab
andesite_fractured_stairs,andesite fractured stairs,geology:igneous_extrusive,andesite,fractured,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;FRACTURED;shape:stairs
andesite_fractured_wall,andesite fractured wall,geology:igneous_extrusive,andesite,fractured,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;FRACTURED;shape:wall
andesite_fractured_pillar,andesite fractured pillar,geology:igneous_extrusive,andesite,fractured,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;FRACTURED;shape:pillar
andesite_fractured_rubble,andesite fractured rubble,geology:igneous_extrusive,andesite,fractured,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;FRACTURED;shape:rubble
andesite_weathered_block,andesite weathered block,geology:igneous_extrusive,andesite,weathered,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;WEATHERED;shape:block
andesite_weathered_slab,andesite weathered slab,geology:igneous_extrusive,andesite,weathered,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;WEATHERED;shape:slab
andesite_weathered_stairs,andesite weathered stairs,geology:igneous_extrusive,andesite,weathered,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;WEATHERED;shape:stairs
andesite_weathered_wall,andesite weathered wall,geology:igneous_extrusive,andesite,weathered,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;WEATHERED;shape:wall
andesite_weathered_pillar,andesite weathered pillar,geology:igneous_extrusive,andesite,weathered,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;WEATHERED;shape:pillar
andesite_weathered_rubble,andesite weathered rubble,geology:igneous_extrusive,andesite,weathered,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;WEATHERED;shape:rubble
andesite_cobbled_block,andesite cobbled block,geology:igneous_extrusive,andesite,cobbled,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;COBBLED;shape:block
andesite_cobbled_slab,andesite cobbled slab,geology:igneous_extrusive,andesite,cobbled,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;COBBLED;shape:slab
andesite_cobbled_stairs,andesite cobbled stairs,geology:igneous_extrusive,andesite,cobbled,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;COBBLED;shape:stairs
andesite_cobbled_wall,andesite cobbled wall,geology:igneous_extrusive,andesite,cobbled,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;COBBLED;shape:wall
andesite_cobbled_pillar,andesite cobbled pillar,geology:igneous_extrusive,andesite,cobbled,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;COBBLED;shape:pillar
andesite_cobbled_rubble,andesite cobbled rubble,geology:igneous_extrusive,andesite,cobbled,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;COBBLED;shape:rubble
andesite_polished_block,andesite polished block,geology:igneous_extrusive,andesite,polished,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;POLISHED;shape:block
andesite_polished_slab,andesite polished slab,geology:igneous_extrusive,andesite,polished,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;POLISHED;shape:slab
andesite_polished_stairs,andesite polished stairs,geology:igneous_extrusive,andesite,polished,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;POLISHED;shape:stairs
andesite_polished_wall,andesite polished wall,geology:igneous_extrusive,andesite,polished,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;POLISHED;shape:wall
andesite_polished_pillar,andesite polished pillar,geology:igneous_extrusive,andesite,polished,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;POLISHED;shape:pillar
andesite_polished_rubble,andesite polished rubble,geology:igneous_extrusive,andesite,polished,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;POLISHED;shape:rubble
andesite_bricks_block,andesite bricks block,geology:igneous_extrusive,andesite,bricks,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;BRICKS;shape:block
andesite_bricks_slab,andesite bricks slab,geology:igneous_extrusive,andesite,bricks,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;BRICKS;shape:slab
andesite_bricks_stairs,andesite bricks stairs,geology:igneous_extrusive,andesite,bricks,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;BRICKS;shape:stairs
andesite_bricks_wall,andesite bricks wall,geology:igneous_extrusive,andesite,bricks,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;BRICKS;shape:wall
andesite_bricks_pillar,andesite bricks pillar,geology:igneous_extrusive,andesite,bricks,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;BRICKS;shape:pillar
andesite_bricks_rubble,andesite bricks rubble,geology:igneous_extrusive,andesite,bricks,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;BRICKS;shape:rubble
